ied,motion,ac_y
-12551212.0,60.68177771007663,-197819.66412077736
-14197073.0,49.05528655563626,-203841.46747956958
-14102056.0,5.194353703509023,-209803.05280477388
-13954795.0,25.15940881219467,-215705.02227672614
-13972081.0,11.316842697767697,-221547.9720539589
-14044011.0,32.68673662215383,-227332.4923334193
-14136294.0,113.34882870796696,-233059.1674100851
-14192374.0,164.44362166930478,-238728.57573598425
-14226789.0,39.803456670321566,-244341.2899786244
-14267326.0,39.40542210361855,-249897.87707883815
-14305702.0,39.01136788258236,-255398.89830804977
-14334397.0,38.62125420375651,-260844.90932496928
-14355465.0,38.23504166171915,-266236.4602317196
-14371816.0,37.85269124510205,-271574.0956294024
-14388322.0,198.26552257121125,-276858.3546731084
-14403048.0,96.94835113599788,-282089.7711263773
-14408872.0,5.531366155264777,-287268.8734151135
-14414811.0,26.97825823662106,-292396.18468096235
-14410032.0,29.286654374675436,-297472.22283415275
-14394008.0,36.88545536358515,-302497.50060581125
-14367262.0,18.639019212676658,-307472.52559975313
-14327524.0,26.95822610399682,-312397.8003437556
-14288522.0,55.346418548410156,-317273.822340318
-14259018.0,102.19358573260729,-322101.08411691483
-14237220.0,106.23133621040483,-326880.0732757457
-14249219.0,104.44901180806619,-331611.27254298824
-14293239.0,91.7010930657184,-336295.15981755836
-14368635.0,103.06306773450842,-340932.2082193828
-14460761.0,91.54141414052765,-345522.88613718894
-14538068.0,57.10666712638681,-350067.65727581707
-14593922.0,96.29575200335125,-354566.9807030589
-14633970.0,118.53696016220692,-359021.3108960283
-14665187.0,138.97270189848587,-363431.097787068
-14689270.0,138.28960232431518,-367796.78680919734
-14707385.0,131.58108503019344,-372118.81894110533
-14720502.0,155.65559282238246,-376397.63075169426
-14721748.0,186.6909673670741,-380633.65444417734
-14727858.0,155.46450739572697,-384827.3178997356
-14738266.0,158.77075423356973,-388979.04472073825
-14740723.0,126.34222692946992,-393089.25427353085
-14726477.0,117.29679311092809,-397158.3617307955
-14706802.0,157.06266741606578,-401186.7781134876
-14681728.0,141.90411486126095,-405174.9103323527
-14655344.0,101.76611115114565,-409123.1612290291
-14637127.0,200.29379380109458,-413031.9296167388
-14631385.0,442.216000980673,-416901.6103205714
-14629853.0,142.09210136444517,-420732.59421736567
-14631840.0,197.50308676993336,-424525.268275192
-14632774.0,200.68327771251256,-428280.0155924401
-14633226.0,147.4005589678136,-431997.2154365157
-14633588.0,61.524802860026284,-435677.24328215054
-14632215.0,93.76332715928265,-439320.470849329
-14631266.0,134.81224944147425,-442927.2661408357
-14629600.0,134.40732685220723,-446497.99347942736
-14626649.0,159.65663218269947,-450033.01354463305
-14623269.0,52.14911651081297,-453532.6834091867
-14613046.0,51.62762534570493,-456997.35657509486
-14599720.0,51.11134909224802,-460427.38300934393
-14582728.0,50.60023560132572,-463823.1091792505
-14564607.0,50.09423324531258,-467184.87808745797
-14547077.0,49.59329091285963,-470513.0293065834
-14531206.0,49.09735800373119,-473807.89901351754
-14516937.0,205.15171943409814,-477069.8200233824
-14507299.0,217.574441006783,-480299.12182314857
-14502762.0,238.4453940260887,-483496.13060491707
-14502507.0,263.10853543962094,-486661.16929886787
-14501600.0,266.45157194064836,-489794.5576058792
-14497796.0,261.1805449578326,-492896.6120298204
-14494504.0,237.91413806030505,-495967.6459095222
